epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.476,1.60707,1.94503,1.0171,0.80952,0.62017,0.73953,0.53603,1.06471,1.72866,0.85761,0.000555336,0.000555336,0.000555336
2,842.862,1.18915,1.17824,0.89941,0.87561,0.63637,0.77632,0.59252,0.89565,2.3016,0.82315,0.00105601,0.00105601,0.00105601
3,1232.83,1.1077,1.07864,0.88424,0.88458,0.61702,0.74445,0.50548,1.13179,1.7616,0.85432,0.00150167,0.00150167,0.00150167
4,1615.16,1.04393,1.00829,0.87294,0.85919,0.6749,0.78935,0.62361,0.79145,1.4398,0.80638,0.00141945,0.00141945,0.00141945
5,2000.29,0.98529,0.94361,0.86318,0.85097,0.69722,0.80206,0.64114,0.75715,1.3298,0.80848,0.00133693,0.00133693,0.00133693
6,2385.67,0.94991,0.89672,0.85822,0.86303,0.69883,0.80651,0.65706,0.71861,1.18624,0.79861,0.00125442,0.00125442,0.00125442
7,2770.63,0.91973,0.85806,0.85194,0.8676,0.70557,0.81309,0.66108,0.71487,1.32546,0.7971,0.0011719,0.0011719,0.0011719
8,3158.32,0.89751,0.8226,0.84928,0.84866,0.71394,0.81161,0.66234,0.71164,1.49019,0.79766,0.00108938,0.00108938,0.00108938
9,3545.53,0.87186,0.79294,0.84582,0.8544,0.72869,0.82347,0.66966,0.70791,0.99679,0.7965,0.00100687,0.00100687,0.00100687
10,3934.97,0.85553,0.77216,0.84189,0.85499,0.72472,0.81724,0.67423,0.67865,1.6889,0.79376,0.000924352,0.000924352,0.000924352
11,4366.73,0.77032,0.71821,0.84279,0.84411,0.72998,0.81932,0.67383,0.67317,1.29697,0.79259,0.000841835,0.000841835,0.000841835
12,4750.04,0.75337,0.69718,0.83993,0.85588,0.71428,0.81196,0.67138,0.67306,1.15941,0.79309,0.000759318,0.000759318,0.000759318
13,5131.35,0.74205,0.67374,0.83649,0.84739,0.7357,0.81957,0.6783,0.67115,1.55109,0.79358,0.000676802,0.000676802,0.000676802
14,5510.51,0.72435,0.65191,0.83445,0.86417,0.7165,0.81229,0.67482,0.66162,1.107,0.79183,0.000594286,0.000594286,0.000594286
15,5891.73,0.71665,0.63454,0.83208,0.86214,0.72937,0.81902,0.68196,0.65407,1.086,0.79053,0.000511769,0.000511769,0.000511769
16,6276.15,0.70757,0.62004,0.83145,0.86034,0.72372,0.81415,0.67907,0.6469,1.12393,0.79037,0.000429253,0.000429253,0.000429253
17,6657.76,0.69225,0.60389,0.82934,0.84789,0.7308,0.8148,0.68177,0.64877,1.063,0.79058,0.000346736,0.000346736,0.000346736
18,7040.37,0.68159,0.5829,0.82767,0.84645,0.72994,0.81055,0.67917,0.64816,1.04998,0.79051,0.00026422,0.00026422,0.00026422
19,7424.72,0.66806,0.57223,0.82514,0.86785,0.71907,0.80978,0.67664,0.64982,1.10815,0.79085,0.000181703,0.000181703,0.000181703
20,7807.54,0.65943,0.55632,0.82543,0.86926,0.71881,0.80677,0.67538,0.65197,1.17476,0.79095,9.91865e-05,9.91865e-05,9.91865e-05
