epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.79,1.5957,1.64351,0.99969,0.79478,0.59384,0.71737,0.51106,1.03501,1.67456,0.84917,0.0668531,0.000166568,0.000166568
2,821.548,1.19894,1.1985,0.89993,0.84644,0.63801,0.76765,0.51071,1.19028,2.07888,0.85375,0.0336798,0.000326636,0.000326636
3,1211.67,1.094,1.07603,0.88111,0.84155,0.69531,0.80732,0.59335,0.96847,1.99511,0.82564,0.000499923,0.000480105,0.000480105
4,1599.57,1.02634,0.9986,0.86954,0.84709,0.70202,0.80296,0.62143,0.85889,1.82411,0.81578,0.0004703,0.0004703,0.0004703
5,1984.31,0.986,0.94023,0.86264,0.81665,0.71547,0.80865,0.64051,0.78087,2.21191,0.80827,0.0004604,0.0004604,0.0004604
6,2371.29,0.95641,0.89205,0.8584,0.86074,0.7063,0.81212,0.64832,0.75888,1.37901,0.80323,0.0004505,0.0004505,0.0004505
7,2758.71,0.92717,0.86197,0.85275,0.83965,0.72109,0.81609,0.65494,0.74649,1.76654,0.80115,0.0004406,0.0004406,0.0004406
8,3146.16,0.90889,0.83188,0.85108,0.85473,0.70138,0.80677,0.65121,0.73689,1.5123,0.80387,0.0004307,0.0004307,0.0004307
9,3534.41,0.88794,0.80846,0.84843,0.85418,0.72079,0.82845,0.67068,0.72134,1.54134,0.80143,0.0004208,0.0004208,0.0004208
10,3922.81,0.87985,0.79138,0.84531,0.85567,0.7326,0.82438,0.67249,0.69702,1.9609,0.79742,0.0004109,0.0004109,0.0004109
11,4310.15,0.86262,0.76915,0.84336,0.85803,0.71052,0.81509,0.66603,0.70602,1.74034,0.79597,0.000401,0.000401,0.000401
12,4696.92,0.85548,0.7566,0.84284,0.86437,0.71554,0.82302,0.67539,0.697,1.40977,0.79666,0.0003911,0.0003911,0.0003911
13,5083.45,0.84512,0.74381,0.84221,0.86337,0.71654,0.81944,0.66889,0.70584,1.31881,0.79753,0.0003812,0.0003812,0.0003812
14,5469.97,0.83287,0.721,0.84042,0.85243,0.72849,0.81933,0.67637,0.69062,1.55516,0.7947,0.0003713,0.0003713,0.0003713
15,5853.57,0.81974,0.71248,0.83728,0.85735,0.7325,0.82622,0.68299,0.68373,1.36915,0.79528,0.0003614,0.0003614,0.0003614
16,6240.32,0.81644,0.70451,0.83724,0.86063,0.72477,0.82374,0.68302,0.67971,1.31438,0.79613,0.0003515,0.0003515,0.0003515
17,6626.11,0.80839,0.69664,0.83526,0.85782,0.72357,0.82135,0.67752,0.69375,1.64442,0.79655,0.0003416,0.0003416,0.0003416
18,7011.77,0.80529,0.68751,0.83498,0.84514,0.73986,0.82447,0.68378,0.68549,1.36445,0.79711,0.0003317,0.0003317,0.0003317
19,7397.56,0.79288,0.6712,0.83355,0.85652,0.72377,0.81639,0.67602,0.69389,1.47555,0.79857,0.0003218,0.0003218,0.0003218
20,7782.09,0.7933,0.6712,0.83375,0.85867,0.72489,0.81914,0.67687,0.69613,1.42205,0.79749,0.0003119,0.0003119,0.0003119
