epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,449.174,1.84075,2.53721,1.09947,0.9051,0.68747,0.80084,0.5916,0.881,1.53278,0.78854,0.00333135,0.00333135,0.00333135
2,885.808,1.31177,1.12509,0.91872,0.93273,0.73587,0.84489,0.64692,0.80061,1.51532,0.77557,0.00644475,0.00644475,0.00644475
3,1308.88,1.24922,1.02435,0.90605,0.78917,0.66955,0.76223,0.56173,0.90822,2.52916,0.79668,0.00933815,0.00933815,0.00933815
4,1730.59,1.16992,0.96891,0.8932,0.91918,0.79631,0.88572,0.70044,0.71571,1.40781,0.7529,0.00901,0.00901,0.00901
5,2155.61,1.06253,0.86748,0.87179,0.94567,0.81229,0.90289,0.74271,0.64131,1.61906,0.74742,0.00868,0.00868,0.00868
6,2582.95,0.99354,0.79747,0.8614,0.9316,0.81658,0.90513,0.76626,0.6019,1.30557,0.73889,0.00835,0.00835,0.00835
7,3010.86,0.95222,0.75962,0.8536,0.96504,0.82074,0.91063,0.78077,0.55594,1.13443,0.73336,0.00802,0.00802,0.00802
8,3435.85,0.92463,0.72677,0.85022,0.94689,0.83808,0.91245,0.79944,0.52105,0.80235,0.73315,0.00769,0.00769,0.00769
9,3863.9,0.89293,0.69196,0.84573,0.96452,0.84832,0.9223,0.81731,0.48051,0.74765,0.72712,0.00736,0.00736,0.00736
10,4291.32,0.87294,0.67282,0.8418,0.964,0.83464,0.92003,0.80909,0.49121,0.8627,0.72803,0.00703,0.00703,0.00703
11,4716.62,0.85486,0.65293,0.83891,0.96618,0.83661,0.9275,0.815,0.47781,0.70525,0.72392,0.0067,0.0067,0.0067
12,5138.87,0.83718,0.63685,0.83632,0.95868,0.84367,0.9237,0.81466,0.48049,1.00124,0.72455,0.00637,0.00637,0.00637
13,5561.66,0.82159,0.62264,0.83476,0.9701,0.84496,0.93111,0.82925,0.46675,1.03255,0.7242,0.00604,0.00604,0.00604
14,5983.49,0.80729,0.60239,0.83329,0.96933,0.8463,0.92955,0.83841,0.44126,0.6576,0.72176,0.00571,0.00571,0.00571
15,6403.79,0.78861,0.58644,0.82939,0.95677,0.86069,0.93375,0.83612,0.45738,0.93483,0.72348,0.00538,0.00538,0.00538
16,6822.98,0.77961,0.57532,0.82738,0.96599,0.85651,0.93102,0.83579,0.44194,0.76719,0.72076,0.00505,0.00505,0.00505
17,7241.92,0.77645,0.56984,0.82715,0.96091,0.8516,0.93078,0.83448,0.4478,1.17281,0.72272,0.00472,0.00472,0.00472
18,7657.53,0.7563,0.5537,0.82467,0.97332,0.8543,0.927,0.83994,0.43297,1.09837,0.72115,0.00439,0.00439,0.00439
19,8074.62,0.74399,0.54183,0.82442,0.9717,0.8457,0.93015,0.8408,0.43414,0.58208,0.72003,0.00406,0.00406,0.00406
20,8489.9,0.73467,0.53397,0.82253,0.96499,0.85946,0.92833,0.84166,0.42237,1.0135,0.71928,0.00373,0.00373,0.00373
21,8937.15,0.67467,0.49525,0.8223,0.96534,0.85823,0.93078,0.84921,0.40375,0.70031,0.71795,0.0034,0.0034,0.0034
22,9344.29,0.66335,0.48608,0.82168,0.97286,0.85209,0.9273,0.8472,0.40256,0.74586,0.7174,0.00307,0.00307,0.00307
23,9751.23,0.65211,0.47441,0.82014,0.96259,0.85872,0.92877,0.8519,0.39392,0.95327,0.71692,0.00274,0.00274,0.00274
24,10159.3,0.63825,0.46299,0.81787,0.96909,0.85332,0.92936,0.85375,0.39405,1.03867,0.71693,0.00241,0.00241,0.00241
25,10567.7,0.62886,0.44913,0.81491,0.9678,0.85652,0.92877,0.85406,0.39043,1.17256,0.71621,0.00208,0.00208,0.00208
26,10975.5,0.62378,0.44207,0.81463,0.96988,0.85457,0.92846,0.85619,0.38851,1.25318,0.71557,0.00175,0.00175,0.00175
27,11383.4,0.61136,0.42891,0.81362,0.96873,0.85651,0.92781,0.8553,0.38881,1.18451,0.71515,0.00142,0.00142,0.00142
28,11787.5,0.59601,0.41677,0.8108,0.97004,0.85455,0.92841,0.85555,0.38557,1.1769,0.71461,0.00109,0.00109,0.00109
29,12193.9,0.59242,0.41196,0.80957,0.96943,0.8571,0.93091,0.85802,0.38241,1.06988,0.71411,0.00076,0.00076,0.00076
30,12601.3,0.58019,0.40193,0.80899,0.97202,0.85528,0.93041,0.85783,0.38237,0.98191,0.71374,0.00043,0.00043,0.00043
