epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.588,1.74352,2.11408,1.05107,0.73902,0.56651,0.68412,0.48564,1.0516,2.03127,0.85262,0.000555336,0.000555336,0.000555336
2,893.697,1.31755,1.27969,0.92271,0.85242,0.61346,0.75611,0.53039,1.09785,2.92202,0.844,0.00105863,0.00105863,0.00105863
3,1339.48,1.22927,1.1748,0.90452,0.79901,0.66041,0.76806,0.57323,0.91992,1.39937,0.82563,0.00150953,0.00150953,0.00150953
4,1772.46,1.17592,1.1108,0.89465,0.85195,0.65758,0.77628,0.5397,1.15688,1.81007,0.84818,0.00143124,0.00143124,0.00143124
5,2204.33,1.11439,1.04571,0.88306,0.84665,0.69513,0.79772,0.60592,0.95614,1.35397,0.82523,0.00135265,0.00135265,0.00135265
6,2636.57,1.07443,0.98859,0.87714,0.84556,0.68733,0.80363,0.64146,0.78297,1.6298,0.80346,0.00127406,0.00127406,0.00127406
7,3068.52,1.03382,0.95064,0.8687,0.849,0.703,0.80659,0.6322,0.81746,1.46848,0.80633,0.00119548,0.00119548,0.00119548
8,3502.3,1.02281,0.92183,0.86753,0.87526,0.6972,0.80865,0.63941,0.80494,1.28763,0.8066,0.00111689,0.00111689,0.00111689
9,3935.24,0.99458,0.8909,0.8638,0.86255,0.70037,0.80413,0.6341,0.82043,1.18323,0.80873,0.0010383,0.0010383,0.0010383
10,4368.55,0.97466,0.86688,0.85932,0.84237,0.72387,0.8119,0.64226,0.80833,1.21491,0.80544,0.000959716,0.000959716,0.000959716
11,4803.37,0.94992,0.8427,0.85551,0.86387,0.70162,0.80819,0.64867,0.76477,1.12488,0.80052,0.000881129,0.000881129,0.000881129
12,5277.56,0.85733,0.78578,0.85633,0.87394,0.70957,0.80975,0.66345,0.72316,1.11827,0.79975,0.000802541,0.000802541,0.000802541
13,5708.38,0.84369,0.76764,0.85445,0.86739,0.70811,0.81326,0.66983,0.70656,1.26486,0.79694,0.000723954,0.000723954,0.000723954
14,6138.04,0.83396,0.74966,0.85234,0.85561,0.71824,0.81918,0.67499,0.68751,1.17251,0.79415,0.000645367,0.000645367,0.000645367
15,6569.04,0.81969,0.72938,0.84917,0.86492,0.71274,0.81635,0.67374,0.68619,1.23085,0.796,0.00056678,0.00056678,0.00056678
16,7000.87,0.80618,0.71107,0.84597,0.86299,0.71519,0.80897,0.66859,0.689,1.28185,0.79632,0.000488193,0.000488193,0.000488193
17,7438.72,0.79302,0.69216,0.84433,0.86912,0.71583,0.81131,0.67115,0.6944,1.51463,0.79744,0.000409606,0.000409606,0.000409606
18,7866.53,0.77899,0.67236,0.84199,0.8578,0.7262,0.81086,0.67316,0.67984,1.29301,0.79514,0.000331019,0.000331019,0.000331019
19,8295.75,0.76492,0.6589,0.84157,0.86179,0.72641,0.81578,0.67586,0.67515,1.33546,0.79489,0.000252431,0.000252431,0.000252431
20,8724.86,0.74909,0.63783,0.83854,0.85569,0.73281,0.81655,0.67752,0.67382,1.44344,0.795,0.000173844,0.000173844,0.000173844
21,9150.18,0.74325,0.62944,0.8364,0.85856,0.73304,0.81802,0.67983,0.67223,1.44608,0.79465,9.52571e-05,9.52571e-05,9.52571e-05
