epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.44,1.79592,2.0337,1.08232,0.79547,0.63053,0.7267,0.49047,1.15009,1.67208,0.87206,0.0700178,0.00333135,0.00333135
2,833.43,1.29283,1.28131,0.9198,0.83668,0.63713,0.76665,0.54523,1.00414,2.03304,0.84719,0.0399772,0.00662407,0.00662407
3,1221.15,1.22648,1.20305,0.90737,0.81207,0.65103,0.75598,0.57111,0.9155,2.0729,0.83783,0.00977561,0.0097558,0.0097558
4,1604.11,1.14665,1.12592,0.89393,0.84554,0.65971,0.78063,0.59466,0.90078,2.20671,0.82717,0.00946048,0.00946048,0.00946048
5,1989.08,1.05509,1.02342,0.87701,0.79453,0.67779,0.77641,0.60554,0.82079,1.98925,0.82238,0.00905463,0.00905463,0.00905463
6,2373.49,0.99805,0.95746,0.86819,0.8545,0.68463,0.79287,0.63942,0.75777,1.21106,0.80847,0.00855018,0.00855018,0.00855018
7,2757.15,0.95517,0.90472,0.85977,0.83141,0.69426,0.79849,0.64204,0.76637,1.4185,0.8047,0.00795954,0.00795954,0.00795954
8,3140.38,0.92696,0.86473,0.85616,0.8565,0.69415,0.80481,0.65849,0.72272,1.18837,0.80247,0.00729725,0.00729725,0.00729725
9,3525.92,0.89772,0.82932,0.85192,0.84501,0.71024,0.80991,0.64996,0.76853,1.38459,0.80642,0.00657963,0.00657963,0.00657963
10,3911.66,0.8755,0.79844,0.84647,0.83579,0.71985,0.81459,0.6723,0.69441,1.59717,0.79749,0.00582435,0.00582435,0.00582435
11,4347.05,0.78563,0.74244,0.84681,0.85247,0.7172,0.81312,0.66819,0.69648,1.28463,0.79781,0.00505,0.00505,0.00505
12,4726.37,0.7645,0.71489,0.84341,0.83074,0.71997,0.81549,0.67706,0.67497,1.14717,0.79269,0.00427565,0.00427565,0.00427565
13,5104.39,0.74377,0.68359,0.83842,0.86461,0.7011,0.8054,0.66884,0.67822,1.17124,0.79458,0.00352037,0.00352037,0.00352037
14,5484.07,0.72373,0.65469,0.83586,0.85309,0.70781,0.80891,0.67446,0.67653,1.14238,0.79462,0.00280275,0.00280275,0.00280275
15,5862.38,0.71082,0.63189,0.83245,0.85816,0.70649,0.81018,0.67911,0.6729,1.11712,0.79363,0.00214046,0.00214046,0.00214046
16,6241.07,0.69887,0.61029,0.83135,0.8486,0.71907,0.81132,0.67967,0.66905,1.2828,0.79346,0.00154982,0.00154982,0.00154982
17,6620.23,0.68163,0.59265,0.82816,0.84494,0.71774,0.80938,0.68109,0.66126,1.04739,0.79262,0.00104537,0.00104537,0.00104537
18,6997.61,0.67102,0.5732,0.82659,0.84851,0.71566,0.80584,0.67768,0.66727,1.00512,0.79403,0.000639518,0.000639518,0.000639518
19,7375.73,0.66215,0.56218,0.82502,0.85888,0.70775,0.80426,0.67692,0.66853,1.01793,0.79472,0.00034227,0.00034227,0.00034227
20,7753.04,0.65608,0.55461,0.82534,0.8516,0.71309,0.80344,0.67619,0.66864,1.02289,0.7948,0.000160943,0.000160943,0.000160943
