epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.544,2.27551,2.83031,1.25578,0.64246,0.47829,0.53811,0.20339,2.09948,3.13954,1.15667,0.0670196,0.000333135,0.000333135
2,790.899,1.44693,1.53849,0.95818,0.73782,0.56822,0.67477,0.47278,1.08745,3.46882,0.86676,0.0339866,0.000633478,0.000633478
3,1189.11,1.25441,1.31017,0.91382,0.79985,0.62774,0.73861,0.55116,0.92488,2.28526,0.83569,0.000920639,0.000900821,0.000900821
4,1601.4,1.14596,1.18269,0.89225,0.82985,0.63964,0.7586,0.57641,0.92436,1.71166,0.82748,0.0008515,0.0008515,0.0008515
5,2007.15,1.06618,1.08943,0.8781,0.81849,0.66417,0.77872,0.59609,0.87617,1.89783,0.81965,0.000802,0.000802,0.000802
6,2415.14,1.01669,1.02067,0.8707,0.85355,0.65874,0.783,0.59891,0.89968,1.89395,0.81819,0.0007525,0.0007525,0.0007525
7,2834.41,0.983,0.97587,0.86345,0.83091,0.69249,0.79755,0.62025,0.82133,1.31483,0.81431,0.000703,0.000703,0.000703
8,3253.8,0.96013,0.93614,0.86068,0.86455,0.6906,0.80367,0.62479,0.83807,1.16483,0.81225,0.0006535,0.0006535,0.0006535
9,3674.67,0.93999,0.90864,0.85855,0.82372,0.71279,0.8094,0.63137,0.823,1.1074,0.81196,0.000604,0.000604,0.000604
10,4112.83,0.92341,0.8832,0.85406,0.83799,0.6988,0.8047,0.63109,0.81004,1.71814,0.80937,0.0005545,0.0005545,0.0005545
11,4586.69,0.82664,0.81941,0.85369,0.832,0.70449,0.80389,0.64329,0.74403,1.28776,0.8029,0.000505,0.000505,0.000505
12,4970.57,0.80787,0.79669,0.85106,0.85152,0.69783,0.80499,0.6451,0.74646,1.05772,0.80382,0.0004555,0.0004555,0.0004555
13,5348.5,0.79644,0.77685,0.84749,0.8447,0.71098,0.8151,0.654,0.73752,1.09649,0.80245,0.000406,0.000406,0.000406
14,5727.85,0.78262,0.75648,0.84589,0.83925,0.71278,0.8102,0.65239,0.73002,1.08017,0.80178,0.0003565,0.0003565,0.0003565
15,6105.44,0.77568,0.74202,0.84382,0.84234,0.70778,0.8049,0.65161,0.7275,1.06506,0.80162,0.000307,0.000307,0.000307
16,6487.41,0.77111,0.72765,0.84368,0.83957,0.71166,0.80595,0.65304,0.72598,1.11941,0.80202,0.0002575,0.0002575,0.0002575
17,6879.69,0.7552,0.71583,0.84106,0.84221,0.70564,0.80225,0.65138,0.72579,1.05759,0.80213,0.000208,0.000208,0.000208
18,7259.72,0.7477,0.70173,0.84027,0.84439,0.7049,0.80359,0.65041,0.72928,1.03912,0.80185,0.0001585,0.0001585,0.0001585
19,7637.47,0.74023,0.69202,0.83845,0.84048,0.71586,0.80846,0.65514,0.72937,1.01568,0.80236,0.000109,0.000109,0.000109
20,8014.13,0.73285,0.68192,0.83877,0.83808,0.71786,0.80857,0.65458,0.73033,1.00147,0.80277,5.95e-05,5.95e-05,5.95e-05
