epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.936,1.83214,2.55856,1.09737,0.79523,0.60051,0.70504,0.4884,1.11498,2.57717,0.87472,0.00333135,0.00333135,0.00333135
2,800.24,1.29443,1.35352,0.91945,0.83514,0.64141,0.76252,0.55608,1.00377,2.82525,0.84029,0.0065987,0.0065987,0.0065987
3,1185.25,1.23132,1.1973,0.90749,0.82573,0.65276,0.76783,0.56974,0.95013,1.32176,0.83966,0.00980006,0.00980006,0.00980006
4,1571.05,1.15219,1.12444,0.89477,0.82786,0.66707,0.77238,0.60361,0.83843,2.09129,0.82508,0.009703,0.009703,0.009703
5,1957.75,1.06613,1.03411,0.87857,0.83503,0.69198,0.79182,0.63094,0.77926,1.73865,0.8135,0.009604,0.009604,0.009604
6,2343.35,1.00819,0.96928,0.87002,0.86099,0.68647,0.79527,0.62572,0.84129,1.40326,0.81654,0.009505,0.009505,0.009505
7,2730.47,0.97467,0.92616,0.86298,0.83426,0.6994,0.80105,0.63781,0.76705,1.2386,0.8077,0.009406,0.009406,0.009406
8,3119.93,0.95012,0.88569,0.85966,0.85963,0.69898,0.8009,0.65114,0.74105,1.54507,0.80503,0.009307,0.009307,0.009307
9,3509.3,0.92745,0.86231,0.85608,0.86223,0.70221,0.81567,0.6605,0.73652,1.26058,0.8073,0.009208,0.009208,0.009208
10,3898.69,0.91486,0.83936,0.85288,0.82831,0.72663,0.81691,0.67094,0.70408,1.62197,0.80043,0.009109,0.009109,0.009109
11,4287.03,0.89555,0.81767,0.85013,0.84724,0.70582,0.80852,0.66348,0.71078,1.6347,0.80129,0.00901,0.00901,0.00901
12,4674.89,0.88733,0.80767,0.84912,0.83095,0.72473,0.8153,0.67655,0.69288,1.56068,0.80013,0.008911,0.008911,0.008911
13,5055.81,0.87692,0.79409,0.84873,0.86679,0.70704,0.81219,0.67053,0.69123,1.41565,0.79924,0.008812,0.008812,0.008812
14,5432.71,0.86408,0.77043,0.84702,0.85039,0.72245,0.81814,0.67947,0.67938,1.55649,0.79729,0.008713,0.008713,0.008713
15,5812.84,0.85597,0.76232,0.84385,0.84032,0.73482,0.82434,0.68372,0.66086,1.49438,0.79257,0.008614,0.008614,0.008614
16,6191.08,0.85037,0.75148,0.84355,0.84336,0.7143,0.81436,0.67884,0.67202,1.40648,0.79626,0.008515,0.008515,0.008515
17,6567.85,0.84305,0.74435,0.84165,0.86933,0.70071,0.8125,0.67988,0.66125,1.65427,0.79365,0.008416,0.008416,0.008416
18,6945.75,0.83789,0.73625,0.84119,0.84409,0.72109,0.81862,0.68317,0.65602,1.75287,0.79358,0.008317,0.008317,0.008317
19,7323.93,0.82888,0.72774,0.84036,0.86403,0.71613,0.81572,0.67907,0.65994,1.43572,0.79412,0.008218,0.008218,0.008218
20,7703.4,0.82773,0.72083,0.84021,0.8554,0.72035,0.81708,0.68329,0.6542,1.65028,0.79392,0.008119,0.008119,0.008119
21,8083.94,0.82018,0.70925,0.83854,0.85903,0.72943,0.82242,0.68793,0.65785,1.36362,0.79518,0.00802,0.00802,0.00802
22,8462.21,0.81987,0.70892,0.83728,0.86429,0.72343,0.81858,0.68307,0.6664,1.26328,0.79703,0.007921,0.007921,0.007921
23,8843.28,0.81264,0.7033,0.83762,0.86368,0.71715,0.81779,0.68413,0.66167,1.42461,0.7959,0.007822,0.007822,0.007822
24,9225.28,0.80784,0.69571,0.83723,0.85127,0.72597,0.81991,0.68504,0.65911,1.36602,0.79579,0.007723,0.007723,0.007723
25,9620.31,0.80713,0.68939,0.83649,0.84336,0.72838,0.81677,0.68572,0.6585,1.39153,0.79528,0.007624,0.007624,0.007624
26,10001.9,0.80074,0.68133,0.83476,0.85523,0.72097,0.81645,0.68435,0.65845,1.41014,0.795,0.007525,0.007525,0.007525
27,10382.2,0.7985,0.68259,0.83482,0.86154,0.71842,0.8135,0.6829,0.64937,1.45437,0.79322,0.007426,0.007426,0.007426
28,10761.3,0.79504,0.67317,0.83377,0.85489,0.71883,0.81179,0.68062,0.65047,1.41147,0.79323,0.007327,0.007327,0.007327
29,11141.6,0.7931,0.66668,0.83426,0.84504,0.72217,0.8117,0.68089,0.64841,1.46736,0.79327,0.007228,0.007228,0.007228
30,11524.7,0.78614,0.66529,0.83348,0.85164,0.7192,0.81017,0.68098,0.64354,1.49935,0.7925,0.007129,0.007129,0.007129
31,11904.4,0.78368,0.65821,0.83272,0.85692,0.71929,0.8091,0.68051,0.6451,1.44977,0.79246,0.00703,0.00703,0.00703
32,12284.4,0.77845,0.65294,0.83264,0.8542,0.72138,0.8095,0.68084,0.64582,1.37014,0.79285,0.006931,0.006931,0.006931
33,12664.8,0.77717,0.65174,0.83169,0.85627,0.72249,0.8086,0.6796,0.64545,1.31454,0.79302,0.006832,0.006832,0.006832
34,13043.8,0.77738,0.64689,0.83167,0.85269,0.7235,0.80897,0.68059,0.6448,1.349,0.79288,0.006733,0.006733,0.006733
35,13423.6,0.77067,0.64044,0.83124,0.85256,0.72315,0.81024,0.68151,0.64435,1.32401,0.79252,0.006634,0.006634,0.006634
36,13801.3,0.77053,0.64299,0.83109,0.85267,0.7223,0.81048,0.68132,0.64316,1.29158,0.79226,0.006535,0.006535,0.006535
37,14181.4,0.76697,0.63346,0.83075,0.85261,0.72265,0.81098,0.68225,0.64517,1.26653,0.79264,0.006436,0.006436,0.006436
38,14562.4,0.76009,0.63108,0.83028,0.8523,0.72282,0.81092,0.68282,0.6456,1.29112,0.79274,0.006337,0.006337,0.006337
39,14942,0.76321,0.63196,0.83063,0.85658,0.72124,0.8108,0.68254,0.64524,1.30245,0.79261,0.006238,0.006238,0.006238
40,15321.3,0.75606,0.62315,0.82901,0.85035,0.72437,0.81114,0.68274,0.64433,1.31996,0.79252,0.006139,0.006139,0.006139
41,15702.6,0.75438,0.61847,0.82892,0.84961,0.72473,0.81121,0.6829,0.64434,1.33288,0.79245,0.00604,0.00604,0.00604
42,16084.4,0.75426,0.6168,0.82914,0.84911,0.72358,0.81062,0.68222,0.64464,1.34899,0.79242,0.005941,0.005941,0.005941
43,16465.5,0.74821,0.61023,0.82721,0.85735,0.71888,0.81128,0.68274,0.64534,1.35599,0.79248,0.005842,0.005842,0.005842
44,16846.4,0.74691,0.60869,0.82821,0.85479,0.7222,0.81212,0.68354,0.64663,1.36181,0.79275,0.005743,0.005743,0.005743
45,17226.7,0.74302,0.60379,0.82753,0.8536,0.72297,0.81227,0.68339,0.64638,1.35346,0.79274,0.005644,0.005644,0.005644
46,17606.8,0.73964,0.60271,0.82729,0.85475,0.72244,0.81207,0.68332,0.64647,1.36162,0.79271,0.005545,0.005545,0.005545
47,17987.1,0.73546,0.59652,0.8267,0.85811,0.71958,0.8116,0.68328,0.6463,1.36658,0.79263,0.005446,0.005446,0.005446
48,18366.5,0.73852,0.59707,0.82639,0.85416,0.72157,0.81177,0.68352,0.64537,1.36973,0.79238,0.005347,0.005347,0.005347
49,18746.4,0.73243,0.5897,0.82665,0.85243,0.72268,0.81122,0.68358,0.64491,1.35971,0.79246,0.005248,0.005248,0.005248
50,19135.3,0.73502,0.59199,0.82588,0.8526,0.72275,0.81081,0.68408,0.64471,1.35501,0.79242,0.005149,0.005149,0.005149
51,19516.5,0.7342,0.58959,0.8252,0.85171,0.72357,0.81074,0.68393,0.64427,1.36101,0.79241,0.00505,0.00505,0.00505
52,19897.6,0.72758,0.58237,0.82507,0.85116,0.72298,0.81043,0.68393,0.64425,1.37053,0.79237,0.004951,0.004951,0.004951
53,20276.6,0.72527,0.57997,0.82573,0.84796,0.7252,0.81012,0.68362,0.64435,1.36916,0.79235,0.004852,0.004852,0.004852
54,20655.9,0.72432,0.57612,0.82396,0.85067,0.72435,0.81015,0.6841,0.64406,1.36851,0.79234,0.004753,0.004753,0.004753
55,21036.7,0.7215,0.57353,0.82455,0.85065,0.72343,0.80968,0.68331,0.64398,1.37443,0.79248,0.004654,0.004654,0.004654
56,21417.1,0.71936,0.57286,0.82412,0.85264,0.7207,0.80974,0.68327,0.64389,1.38875,0.79255,0.004555,0.004555,0.004555
57,21799.1,0.71522,0.56967,0.82314,0.85148,0.72135,0.80983,0.68347,0.64337,1.39716,0.79248,0.004456,0.004456,0.004456
58,22178.3,0.71832,0.56781,0.82336,0.85205,0.72049,0.80958,0.68372,0.6427,1.40465,0.79249,0.004357,0.004357,0.004357
59,22558.8,0.71443,0.56439,0.82331,0.84956,0.72063,0.80956,0.68382,0.64237,1.41382,0.79253,0.004258,0.004258,0.004258
60,22940.2,0.71027,0.56306,0.82395,0.85146,0.71999,0.80916,0.68382,0.64206,1.41964,0.7924,0.004159,0.004159,0.004159
61,23320.5,0.70797,0.56195,0.82307,0.85049,0.72163,0.80847,0.68304,0.64235,1.42073,0.79243,0.00406,0.00406,0.00406
62,23699.4,0.70555,0.55529,0.82188,0.84949,0.72096,0.80815,0.68336,0.64229,1.42093,0.79258,0.003961,0.003961,0.003961
63,24079.8,0.70584,0.55547,0.82252,0.85182,0.72015,0.80766,0.68329,0.64248,1.40697,0.7927,0.003862,0.003862,0.003862
64,24460.4,0.70127,0.55375,0.82055,0.85891,0.71659,0.80717,0.68287,0.64204,1.40707,0.79272,0.003763,0.003763,0.003763
65,24841.6,0.69632,0.54503,0.82106,0.8515,0.7193,0.80687,0.68264,0.64271,1.40802,0.79278,0.003664,0.003664,0.003664
66,25221.3,0.69605,0.54218,0.82033,0.85221,0.72022,0.80706,0.68268,0.64193,1.40424,0.79271,0.003565,0.003565,0.003565
