epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.672,1.97159,2.59021,1.13145,0.71863,0.5115,0.60639,0.40168,1.21135,1.35272,0.92447,0.000554555,0.000554555,0.000554555
2,246.232,1.43338,1.4628,0.95076,0.35931,0.59652,0.33818,0.22389,1.28346,1.59196,0.93707,0.00105527,0.00105527,0.00105527
3,362.149,1.37944,1.34808,0.94129,0.75811,0.56458,0.66522,0.46579,1.12558,1.19311,0.90225,0.00150097,0.00150097,0.00150097
4,476.376,1.26775,1.24236,0.91944,0.75507,0.589,0.69366,0.50274,0.98998,1.0394,0.87582,0.00141945,0.00141945,0.00141945
5,592.62,1.18428,1.177,0.8991,0.73268,0.59955,0.69986,0.52137,0.90182,1.03955,0.85936,0.00133693,0.00133693,0.00133693
6,707.355,1.12479,1.10982,0.89144,0.78809,0.61033,0.71226,0.52911,0.93264,0.9955,0.86616,0.00125442,0.00125442,0.00125442
7,822.454,1.10232,1.06622,0.88732,0.75135,0.60852,0.70861,0.53789,0.87327,0.97938,0.84904,0.0011719,0.0011719,0.0011719
8,937.586,1.06627,1.06192,0.87833,0.77002,0.62922,0.72799,0.54411,0.8873,0.93439,0.85089,0.00108938,0.00108938,0.00108938
9,1052.74,1.04328,1.01809,0.87504,0.77498,0.61799,0.73025,0.55946,0.83063,0.8998,0.84546,0.00100687,0.00100687,0.00100687
10,1168.52,1.0076,0.98582,0.86993,0.7876,0.63192,0.73426,0.56237,0.83896,0.89233,0.84689,0.000924352,0.000924352,0.000924352
11,1316.64,0.91212,0.93365,0.87034,0.77466,0.62433,0.72713,0.55737,0.8208,0.88766,0.84597,0.000841835,0.000841835,0.000841835
12,1429.81,0.88083,0.91743,0.86496,0.82419,0.62503,0.74881,0.58241,0.77524,0.86247,0.83798,0.000759318,0.000759318,0.000759318
13,1542.78,0.86183,0.8762,0.86224,0.82591,0.64601,0.75941,0.58602,0.78819,0.8214,0.84119,0.000676802,0.000676802,0.000676802
14,1655.93,0.83949,0.84998,0.85768,0.80037,0.64953,0.76001,0.59333,0.76876,0.82214,0.83578,0.000594286,0.000594286,0.000594286
15,1769.08,0.82746,0.82885,0.85368,0.80165,0.67929,0.77249,0.61261,0.74604,0.78558,0.83602,0.000511769,0.000511769,0.000511769
16,1882.45,0.80506,0.79921,0.85017,0.82953,0.66916,0.7788,0.60558,0.76706,0.77376,0.83557,0.000429253,0.000429253,0.000429253
17,1995.78,0.78931,0.77518,0.84953,0.84722,0.66489,0.78077,0.62483,0.72056,0.74864,0.83032,0.000346736,0.000346736,0.000346736
18,2109.04,0.77596,0.76038,0.84577,0.84093,0.67583,0.78545,0.6281,0.71464,0.74124,0.83067,0.00026422,0.00026422,0.00026422
19,2222.61,0.76209,0.73531,0.84397,0.84499,0.67152,0.79169,0.63437,0.70519,0.7295,0.82895,0.000181703,0.000181703,0.000181703
20,2336.29,0.74845,0.72291,0.84439,0.82627,0.68913,0.7955,0.63878,0.69783,0.72344,0.82806,9.91865e-05,9.91865e-05,9.91865e-05
